implementation,horizon_days,n,mean_pct,median_pct,negative_rate_pct
21_WARMUP_TRUNCATED,1,21,0.13843519658833378,0.31088883458183,47.61904761904761
21_WARMUP_TRUNCATED,3,21,0.26993953042279106,1.22217119925207,33.33333333333333
21_WARMUP_TRUNCATED,5,21,0.61584496919118,1.16791414771453,38.095238095238095
21_WARMUP_TRUNCATED,7,21,1.1077610958455233,1.51890026574843,38.095238095238095
21_WARMUP_TRUNCATED,10,21,2.0499769218302575,2.7401266229918697,28.57142857142857
21_WARMUP_TRUNCATED,14,21,1.783784602383573,1.5547500397174099,28.57142857142857
21_WARMUP_TRUNCATED,21,21,2.3579668016730233,2.52448980716124,42.857142857142854
22_PREWINDOW_LOOKBACK,1,22,0.3068637888531082,0.49770118808042385,45.45454545454545
22_PREWINDOW_LOOKBACK,3,22,0.2319868101153154,0.9988091551118017,36.36363636363637
22_PREWINDOW_LOOKBACK,5,22,0.24657600650047073,0.9860056219179736,40.909090909090914
22_PREWINDOW_LOOKBACK,7,22,0.8315447090924633,1.5007033487513088,40.909090909090914
22_PREWINDOW_LOOKBACK,10,22,1.7864668221587308,2.5761678082357964,31.818181818181817
22_PREWINDOW_LOOKBACK,14,22,1.4655999630456913,1.4993078887181044,31.818181818181817
22_PREWINDOW_LOOKBACK,21,22,2.2600555772452164,1.7312755105739597,40.909090909090914
