category,NOT_SUPPORTED,PARTIAL_OR_NEAR_MISS,SUPPORTED,eligible_n
BOTTOM_SIGNAL,0,0,1,1
EVENT_INTERPRETATION,0,0,1,1
INVALIDATION,0,0,1,1
PRICE_AND_TIME,6,0,3,9
PRICE_PATH,0,0,2,2
PRICE_RANGE,2,6,3,11
PRICE_TARGET,2,0,0,2
REVERSAL_GATE,0,0,1,1
ROADMAP,4,1,6,11
TIMING_WINDOW,3,0,2,5
