policy,nominal_events,connected_overlap_clusters,overlapping_event_rate,median_return_delta_vs_buy_hold,cluster_mean_return_delta_vs_buy_hold,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,median_drawdown_improvement_correct_sign,drawdown_improvement_rate
FRAMEWORK_LOCKED_3CONF,87,16,0.8160919540229885,-0.04194698173704742,-0.04181132978458441,-0.09535015539560293,0.002924436535280754,0.0,0.3103448275862069
DELAYED_REBUY_1D,87,16,0.8160919540229885,-0.007613476745807868,0.004433627780717771,-0.03238878073307504,0.037433298477864425,0.0,0.12643678160919541
DELAYED_REBUY_5D,87,16,0.8160919540229885,-0.010041299970271908,-0.0019407676230897841,-0.06122771544292181,0.05211209739857551,0.0,0.27586206896551724
ATR_BAND_1ATR,87,16,0.8160919540229885,-0.0535186177566616,-0.07084846072728794,-0.12538210890055254,-0.022020432097420252,0.0,0.19540229885057472
