open_time_utc,close_time_utc,open,high,low,close,base_volume_eth,quote_volume_btc,trade_count,taker_buy_base_volume_eth,taker_buy_quote_volume_btc,row_status,settlement_timezone
2026-07-28T20:00:00.000Z,2026-07-28T20:04:59.999Z,0.03008000,0.03009000,0.03004000,0.03004000,13.71170000,0.41231994,56,1.72580000,0.05191444,SETTLED,UTC
2026-07-28T20:05:00.000Z,2026-07-28T20:09:59.999Z,0.03004000,0.03005000,0.03003000,0.03005000,23.94580000,0.71924171,68,5.14040000,0.15439155,SETTLED,UTC
2026-07-28T20:10:00.000Z,2026-07-28T20:14:59.999Z,0.03004000,0.03005000,0.03003000,0.03003000,0.68270000,0.02050839,14,0.01780000,0.00053489,SETTLED,UTC
2026-07-28T20:15:00.000Z,2026-07-28T20:19:59.999Z,0.03003000,0.03005000,0.03001000,0.03004000,13.84320000,0.41570089,51,12.32080000,0.37000547,SETTLED,UTC
2026-07-28T20:20:00.000Z,2026-07-28T20:24:59.999Z,0.03004000,0.03004000,0.03000000,0.03000000,4.05750000,0.12180353,124,0.46320000,0.01390605,SETTLED,UTC
2026-07-28T20:25:00.000Z,2026-07-28T20:29:59.999Z,0.03000000,0.03003000,0.03000000,0.03003000,2.59380000,0.07784611,54,1.72210000,0.05168857,SETTLED,UTC
2026-07-28T20:30:00.000Z,2026-07-28T20:34:59.999Z,0.03002000,0.03003000,0.03002000,0.03003000,0.73350000,0.02202383,28,0.43160000,0.01296081,SETTLED,UTC
2026-07-28T20:35:00.000Z,2026-07-28T20:39:59.999Z,0.03003000,0.03004000,0.03000000,0.03001000,36.67300000,1.10137276,84,35.63810000,1.07031036,SETTLED,UTC
2026-07-28T20:40:00.000Z,2026-07-28T20:44:59.999Z,0.03001000,0.03002000,0.03001000,0.03002000,0.15950000,0.00478675,23,0.07670000,0.00230196,SETTLED,UTC
2026-07-28T20:45:00.000Z,2026-07-28T20:49:59.999Z,0.03002000,0.03002000,0.03000000,0.03000000,0.74370000,0.02231786,39,0.21900000,0.00657438,SETTLED,UTC
2026-07-28T20:50:00.000Z,2026-07-28T20:54:59.999Z,0.03000000,0.03000000,0.02999000,0.03000000,0.30240000,0.00907173,23,0.12680000,0.00380400,SETTLED,UTC
2026-07-28T20:55:00.000Z,2026-07-28T20:59:59.999Z,0.03001000,0.03002000,0.03000000,0.03002000,4.90840000,0.14730098,25,4.89880000,0.14701298,SETTLED,UTC
2026-07-28T21:00:00.000Z,2026-07-28T21:04:59.999Z,0.03002000,0.03003000,0.03001000,0.03003000,7.64520000,0.22956462,56,7.34880000,0.22066802,SETTLED,UTC
2026-07-28T21:05:00.000Z,2026-07-28T21:09:59.999Z,0.03004000,0.03005000,0.03004000,0.03004000,2.85070000,0.08565209,43,2.67570000,0.08039513,SETTLED,UTC
2026-07-28T21:10:00.000Z,2026-07-28T21:14:59.999Z,0.03005000,0.03007000,0.03004000,0.03005000,26.23520000,0.78840566,117,20.41210000,0.61338921,SETTLED,UTC
2026-07-28T21:15:00.000Z,2026-07-28T21:19:59.999Z,0.03004000,0.03005000,0.03004000,0.03004000,2.54400000,0.07642181,20,0.01300000,0.00039064,SETTLED,UTC
2026-07-28T21:20:00.000Z,2026-07-28T21:24:59.999Z,0.03004000,0.03006000,0.03004000,0.03006000,11.63630000,0.34961541,32,0.30910000,0.00929118,SETTLED,UTC
2026-07-28T21:25:00.000Z,2026-07-28T21:29:59.999Z,0.03005000,0.03005000,0.03004000,0.03004000,15.78270000,0.47426780,30,1.65290000,0.04966963,SETTLED,UTC
2026-07-28T21:30:00.000Z,2026-07-28T21:34:59.999Z,0.03004000,0.03005000,0.03003000,0.03003000,1.76460000,0.05300862,11,0.95450000,0.02867330,SETTLED,UTC
2026-07-28T21:35:00.000Z,2026-07-28T21:39:59.999Z,0.03003000,0.03004000,0.03002000,0.03004000,1.29220000,0.03881116,67,0.82140000,0.02467403,SETTLED,UTC
2026-07-28T21:40:00.000Z,2026-07-28T21:44:59.999Z,0.03004000,0.03004000,0.03002000,0.03003000,17.95090000,0.53907334,43,1.63900000,0.04923110,SETTLED,UTC
2026-07-28T21:45:00.000Z,2026-07-28T21:49:59.999Z,0.03004000,0.03011000,0.03004000,0.03007000,24.90560000,0.74921325,333,20.09260000,0.60443962,SETTLED,UTC
2026-07-28T21:50:00.000Z,2026-07-28T21:54:59.999Z,0.03008000,0.03010000,0.03008000,0.03009000,4.94610000,0.14879875,142,1.98180000,0.05963199,SETTLED,UTC
2026-07-28T21:55:00.000Z,2026-07-28T21:59:59.999Z,0.03008000,0.03010000,0.03007000,0.03007000,43.08400000,1.29608674,92,7.66690000,0.23069458,SETTLED,UTC
2026-07-28T22:00:00.000Z,2026-07-28T22:04:59.999Z,0.03008000,0.03010000,0.03008000,0.03010000,9.05790000,0.27255162,53,9.02350000,0.27151685,SETTLED,UTC
2026-07-28T22:05:00.000Z,2026-07-28T22:09:59.999Z,0.03010000,0.03010000,0.03007000,0.03008000,1.76400000,0.05307756,66,0.84480000,0.02542717,SETTLED,UTC
2026-07-28T22:10:00.000Z,2026-07-28T22:14:59.999Z,0.03007000,0.03008000,0.03006000,0.03006000,0.63880000,0.01921246,38,0.46040000,0.01384831,SETTLED,UTC
2026-07-28T22:15:00.000Z,2026-07-28T22:19:59.999Z,0.03005000,0.03006000,0.03004000,0.03006000,0.74940000,0.02252246,48,0.67130000,0.02017575,SETTLED,UTC
2026-07-28T22:20:00.000Z,2026-07-28T22:24:59.999Z,0.03006000,0.03006000,0.03003000,0.03003000,12.03810000,0.36173416,59,10.41780000,0.31305982,SETTLED,UTC
2026-07-28T22:25:00.000Z,2026-07-28T22:29:59.999Z,0.03004000,0.03005000,0.03004000,0.03004000,3.46090000,0.10396670,19,0.15110000,0.00454035,SETTLED,UTC
2026-07-28T22:30:00.000Z,2026-07-28T22:34:59.999Z,0.03003000,0.03004000,0.03002000,0.03003000,1.32740000,0.03986289,39,0.98550000,0.02959697,SETTLED,UTC
2026-07-28T22:35:00.000Z,2026-07-28T22:39:59.999Z,0.03002000,0.03002000,0.03001000,0.03001000,0.30910000,0.00927906,19,0.01710000,0.00051334,SETTLED,UTC
2026-07-28T22:40:00.000Z,2026-07-28T22:44:59.999Z,0.03002000,0.03002000,0.03001000,0.03002000,1.31710000,0.03953525,19,0.91610000,0.02750129,SETTLED,UTC
2026-07-28T22:45:00.000Z,2026-07-28T22:49:59.999Z,0.03001000,0.03001000,0.02998000,0.02998000,2.28870000,0.06865532,101,0.40620000,0.01218474,SETTLED,UTC
2026-07-28T22:50:00.000Z,2026-07-28T22:54:59.999Z,0.02998000,0.02998000,0.02995000,0.02995000,16.93190000,0.50736553,218,8.23360000,0.24674081,SETTLED,UTC
2026-07-28T22:55:00.000Z,2026-07-28T22:59:59.999Z,0.02996000,0.02999000,0.02996000,0.02998000,4.31830000,0.12944368,70,4.10350000,0.12300520,SETTLED,UTC
2026-07-28T23:00:00.000Z,2026-07-28T23:04:59.999Z,0.02997000,0.02998000,0.02994000,0.02995000,6.97090000,0.20886754,54,0.31740000,0.00950975,SETTLED,UTC
2026-07-28T23:05:00.000Z,2026-07-28T23:09:59.999Z,0.02996000,0.02996000,0.02994000,0.02994000,3.20670000,0.09601504,74,1.55200000,0.04647243,SETTLED,UTC
2026-07-28T23:10:00.000Z,2026-07-28T23:14:59.999Z,0.02994000,0.03000000,0.02993000,0.03000000,10.90890000,0.32677328,103,9.26450000,0.27753961,SETTLED,UTC
2026-07-28T23:15:00.000Z,2026-07-28T23:19:59.999Z,0.02999000,0.02999000,0.02997000,0.02997000,7.61370000,0.22820928,54,3.97600000,0.11916151,SETTLED,UTC
2026-07-28T23:20:00.000Z,2026-07-28T23:24:59.999Z,0.02998000,0.02999000,0.02997000,0.02998000,1.19140000,0.03572817,36,1.10760000,0.03321610,SETTLED,UTC
2026-07-28T23:25:00.000Z,2026-07-28T23:29:59.999Z,0.02997000,0.02999000,0.02996000,0.02999000,3.83250000,0.11486184,87,1.83270000,0.05493222,SETTLED,UTC
2026-07-28T23:30:00.000Z,2026-07-28T23:34:59.999Z,0.02999000,0.03001000,0.02998000,0.03001000,4.16820000,0.12502781,51,3.71740000,0.11150406,SETTLED,UTC
2026-07-28T23:35:00.000Z,2026-07-28T23:39:59.999Z,0.03001000,0.03005000,0.03000000,0.03004000,26.19280000,0.78689969,126,10.81990000,0.32505817,SETTLED,UTC
2026-07-28T23:40:00.000Z,2026-07-28T23:44:59.999Z,0.03004000,0.03006000,0.03004000,0.03005000,16.60830000,0.49900102,117,9.67720000,0.29072180,SETTLED,UTC
2026-07-28T23:45:00.000Z,2026-07-28T23:49:59.999Z,0.03004000,0.03006000,0.03004000,0.03006000,6.69160000,0.20106599,76,6.12680000,0.18409831,SETTLED,UTC
2026-07-28T23:50:00.000Z,2026-07-28T23:54:59.999Z,0.03006000,0.03007000,0.03004000,0.03007000,5.90160000,0.17740114,110,4.27680000,0.12857559,SETTLED,UTC
2026-07-28T23:55:00.000Z,2026-07-28T23:59:59.999Z,0.03007000,0.03009000,0.03005000,0.03007000,24.64030000,0.74090358,134,19.79680000,0.59527915,SETTLED,UTC
2026-07-29T00:00:00.000Z,2026-07-29T00:04:59.999Z,0.03006000,0.03008000,0.03006000,0.03006000,9.85380000,0.29622414,87,1.77920000,0.05350068,SETTLED,UTC
2026-07-29T00:05:00.000Z,2026-07-29T00:09:59.999Z,0.03007000,0.03007000,0.03003000,0.03005000,44.45380000,1.33602066,221,15.78970000,0.47462655,SETTLED,UTC
2026-07-29T00:10:00.000Z,2026-07-29T00:14:59.999Z,0.03005000,0.03005000,0.03003000,0.03003000,0.33120000,0.00994753,59,0.06450000,0.00193752,SETTLED,UTC
2026-07-29T00:15:00.000Z,2026-07-29T00:19:59.999Z,0.03003000,0.03006000,0.03003000,0.03004000,14.18660000,0.42616871,68,9.05840000,0.27211832,SETTLED,UTC
2026-07-29T00:20:00.000Z,2026-07-29T00:24:59.999Z,0.03004000,0.03004000,0.03003000,0.03003000,18.31860000,0.55012514,78,17.39250000,0.52231456,SETTLED,UTC
2026-07-29T00:25:00.000Z,2026-07-29T00:29:59.999Z,0.03002000,0.03003000,0.03000000,0.03000000,11.51080000,0.34548627,79,3.47310000,0.10426633,SETTLED,UTC
2026-07-29T00:30:00.000Z,2026-07-29T00:34:59.999Z,0.03000000,0.03002000,0.03000000,0.03002000,0.66520000,0.01996341,36,0.58440000,0.01753869,SETTLED,UTC
