open_time_utc,close_time_utc,open,high,low,close,base_volume_eth,quote_volume_btc,trade_count,taker_buy_base_volume_eth,taker_buy_quote_volume_btc,row_status,settlement_timezone
2026-07-28T15:00:00.000Z,2026-07-28T15:59:59.999Z,0.02978000,0.03009000,0.02977000,0.03004000,1058.88780000,31.76463312,4355,782.28610000,23.47117089,SETTLED,UTC
2026-07-28T16:00:00.000Z,2026-07-28T16:59:59.999Z,0.03003000,0.03010000,0.03001000,0.03007000,528.70770000,15.88697623,1469,437.17270000,13.13720150,SETTLED,UTC
2026-07-28T17:00:00.000Z,2026-07-28T17:59:59.999Z,0.03007000,0.03007000,0.02980000,0.02985000,714.72010000,21.35606588,2674,322.47340000,9.62884094,SETTLED,UTC
2026-07-28T18:00:00.000Z,2026-07-28T18:59:59.999Z,0.02986000,0.03002000,0.02986000,0.02999000,241.72950000,7.24662409,1002,173.72830000,5.20982913,SETTLED,UTC
2026-07-28T19:00:00.000Z,2026-07-28T19:59:59.999Z,0.02999000,0.03012000,0.02999000,0.03008000,229.06760000,6.89394774,1038,172.19700000,5.18347944,SETTLED,UTC
2026-07-28T20:00:00.000Z,2026-07-28T20:59:59.999Z,0.03008000,0.03009000,0.02999000,0.03002000,102.35520000,3.07429448,589,62.78110000,1.88540546,SETTLED,UTC
2026-07-28T21:00:00.000Z,2026-07-28T21:59:59.999Z,0.03002000,0.03011000,0.03001000,0.03007000,160.63750000,4.82891925,986,65.56780000,1.97114843,SETTLED,UTC
2026-07-28T22:00:00.000Z,2026-07-28T22:59:59.999Z,0.03008000,0.03010000,0.02995000,0.02998000,54.20160000,1.62720669,749,36.23090000,1.08811060,SETTLED,UTC
2026-07-28T23:00:00.000Z,2026-07-28T23:59:59.999Z,0.02997000,0.03009000,0.02993000,0.03007000,117.92690000,3.54075438,1022,72.46510000,2.17606870,SETTLED,UTC
2026-07-29T00:00:00.000Z,2026-07-29T00:59:59.999Z,0.03006000,0.03008000,0.02997000,0.02998000,113.76980000,3.41718507,1080,57.09630000,1.71481109,SETTLED,UTC
2026-07-29T01:00:00.000Z,2026-07-29T01:59:59.999Z,0.02998000,0.02998000,0.02991000,0.02991000,557.82370000,16.69711812,1044,437.54640000,13.09628470,SETTLED,UTC
2026-07-29T02:00:00.000Z,2026-07-29T02:59:59.999Z,0.02991000,0.02994000,0.02987000,0.02987000,282.73970000,8.45164383,784,38.10050000,1.13965174,SETTLED,UTC
