strategy,one_way_cost_bps,calendar_days,exposure_days,one_way_turnovers,gross_or_net_multiple,max_drawdown_pct,cash_return_assumed,tax_and_spread_beyond_cost_not_modeled
GREEN_NEXT_1D,0,3553,1340,1592,4.8981994140,-74.1500831224,0,True
GREEN_NEXT_1D,10,3553,1340,1592,0.9960788479,-87.4094359871,0,True
GREEN_NEXT_1D,25,3553,1340,1592,0.0910710201,-96.2921330733,0,True
ALL_SP_SESSIONS_NEXT_1D,0,3553,2445,1072,15.8221256043,-72.7764308368,0,True
ALL_SP_SESSIONS_NEXT_1D,10,3553,2445,1072,5.4133761610,-75.6622881803,0,True
ALL_SP_SESSIONS_NEXT_1D,25,3553,2445,1072,1.0811807396,-86.4655159760,0,True
BTC_CALENDAR_HOLD,0,3553,3553,2,133.0909138614,-83.7831430341,0,True
BTC_CALENDAR_HOLD,10,3553,3553,2,132.8248651246,-83.7831430341,0,True
BTC_CALENDAR_HOLD,25,3553,3553,2,132.4262911103,-83.7831430341,0,True
