filename,bytes,sha256,zip_members,crc_status,detached_checksums_pass
DATA PING BACKTEST HISTORY PACK 20260727T052808Z.zip,190546648,303d63946fd7696237b8d1a7208fa5aadd877e55aba57d5b51ea17aa46d18c9f,214,PASS,180/180
TDBC v1 TechDev Business Cycle 2026-07-26.zip,237291,e83d3b95e94fba331767feae92bd052ed7f752a1a5305d63621030b293bc5d4c,18,PASS,17/17
DATA_PING_BACKTEST_HISTORY_PACK_20260727T114012Z.zip,930818,26df6c5bba68b503ec1744b2ca03b8beecb37ce14abc8f3ced636017b2910521,258,PASS,257/257
data_ping_uge30_2026.zip,702338,c0745b6c0b961fd3765ffa051dc6f2d07db611c86654871122e59e6d4f6abe98,30,PASS,N/A
