sample_frequency,state,horizon_days,n,mean_return_pct,median_return_pct,positive_rate_pct,p25_pct,p75_pct
MONDAY_WEEKLY,FALLING_EXPANDING_NO_RECENT_RECLAIM,7,18,-1.6899872757838368,-1.4128760948434682,16.666666666666664,-6.10384121408728,-0.6039377882287505
MONDAY_WEEKLY,FALLING_EXPANDING_NO_RECENT_RECLAIM,14,18,-1.1403140516161734,-3.358292539363339,27.77777777777778,-6.593755565415235,0.16181123519052876
MONDAY_WEEKLY,FALLING_EXPANDING_NO_RECENT_RECLAIM,30,18,-2.4340643927148236,-7.976053016366419,22.22222222222222,-12.7448547994037,-1.5140919288937627
MONDAY_WEEKLY,FALLING_EXPANDING_RECENT_RECLAIM,7,6,0.8417304597930941,2.2664613307789017,66.66666666666666,0.11305719753877397,3.2967303996402353
MONDAY_WEEKLY,FALLING_EXPANDING_RECENT_RECLAIM,14,6,0.4847053211855283,-0.30020267431851155,50.0,-6.220293942344545,5.805827391118329
MONDAY_WEEKLY,FALLING_EXPANDING_RECENT_RECLAIM,30,6,-2.224087727664716,-2.4926604204048406,33.33333333333333,-5.660675042802787,1.3865000765749897
MONDAY_WEEKLY,FALLING_NONEXPANDING,7,37,0.14213951189466117,-1.1815613730963515,40.54054054054054,-3.204428584663266,2.6261937286959247
MONDAY_WEEKLY,FALLING_NONEXPANDING,14,36,-0.1720681776034624,-1.4635895060632065,36.11111111111111,-3.9123319358980444,1.3089743658261432
MONDAY_WEEKLY,FALLING_NONEXPANDING,30,35,-0.8260924842498709,-1.2741457206260187,45.714285714285715,-8.643613559096075,6.027869449597134
MONDAY_WEEKLY,RISING_OR_FLAT_EXPANDING,7,25,-0.23580307319478552,-2.3697367878551368,32.0,-3.768523431484594,1.0441313724827817
MONDAY_WEEKLY,RISING_OR_FLAT_EXPANDING,14,25,-1.7808692005093865,-3.3287615602501486,32.0,-6.471762773458489,3.459091102037748
MONDAY_WEEKLY,RISING_OR_FLAT_EXPANDING,30,25,-2.435525620733972,-5.727177404549744,40.0,-12.895912622853956,2.379760603314174
MONDAY_WEEKLY,RISING_OR_FLAT_NONEXPANDING,7,38,-0.1937992643280881,-0.2933246014146518,50.0,-2.940254023547953,2.1529236507998375
MONDAY_WEEKLY,RISING_OR_FLAT_NONEXPANDING,14,38,-0.6082677710613491,-0.44630635687334386,44.73684210526316,-3.510667619463284,2.0456036735481407
MONDAY_WEEKLY,RISING_OR_FLAT_NONEXPANDING,30,37,-1.9455403050921776,-4.737100187217402,29.72972972972973,-9.517797604059941,0.6187686647300517
