name,fee_bps,exposure_level,start,end,days,exposure_pct,turnover_units,switches,total_return_pct,cagr_pct,max_drawdown_pct,ann_vol_pct,sharpe_0rf,final_equity,implementation,year
DEPLOYMENT_EXPANDING_ONLY,10,1.0,2024-01-01,2024-12-31,360,21.944444444444443,30.0,30,16.953249638222,16.96579507652627,-17.664958951137223,25.451190781222373,0.7490012116815455,1.16953249638222,PERSIST_3D,2024
BTCD_FALLING_X_EXPANDING_X_NO_RECENT_RECLAIM10,10,1.0,2024-01-01,2024-12-31,360,1.6666666666666667,4.0,4,-6.516732148877303,-6.521046860398383,-10.443080582060361,7.321650673474607,-0.8959771388654746,0.934832678511227,PERSIST_3D,2024
BTCD_FALLING_X_DEPLOYMENT_EXPANDING,10,1.0,2024-01-01,2024-12-31,360,5.0,16.0,16,-12.829337085417858,-12.837534464708767,-20.185958912671698,11.110421552087397,-1.196839836994957,0.8717066291458214,PERSIST_3D,2024
BTCD_FALLING_X_SUPPLY_UP_X_DEX_UP_X_CHAIN_BREADTH60,10,1.0,2024-01-01,2024-12-31,360,5.0,16.0,16,-12.829337085417858,-12.837534464708767,-20.185958912671698,11.110421552087397,-1.196839836994957,0.8717066291458214,PERSIST_3D,2024
ALWAYS_LONG,10,1.0,2024-01-01,2024-12-31,360,99.72222222222223,1.0,1,-32.846508016322375,-32.86482045010064,-45.96720920457587,39.393987232180685,-0.8297068464995145,0.6715349198367763,DAILY_RAW,2024
DEPLOYMENT_EXPANDING_ONLY,10,1.0,2025-01-01,2025-12-31,359,16.991643454038996,40.0,40,10.026978338247684,10.063088908030604,-11.223225012056638,20.475112081216988,0.575575699585124,1.1002697833824768,PERSIST_3D,2025
BTCD_FALLING_X_EXPANDING_X_NO_RECENT_RECLAIM10,10,1.0,2025-01-01,2025-12-31,359,4.456824512534819,12.0,12,19.471550944546443,19.5445641641677,-4.380673090654874,12.735931788749195,1.4826441746857628,1.1947155094454645,PERSIST_3D,2025
BTCD_FALLING_X_DEPLOYMENT_EXPANDING,10,1.0,2025-01-01,2025-12-31,359,6.406685236768802,18.0,18,25.391733747816826,25.489205347566223,-4.977576008534868,14.91415124450543,1.6153735760647894,1.2539173374781682,PERSIST_3D,2025
BTCD_FALLING_X_SUPPLY_UP_X_DEX_UP_X_CHAIN_BREADTH60,10,1.0,2025-01-01,2025-12-31,359,5.571030640668524,12.0,12,25.701110738285028,25.7998873900666,-6.716772183533237,13.51301040981221,1.786881196009983,1.2570111073828503,PERSIST_3D,2025
ALWAYS_LONG,10,1.0,2025-01-01,2025-12-31,359,99.72144846796658,1.0,1,-4.696038031812099,-4.711778512201159,-51.5202676732168,47.833761134877925,0.13359968863730465,0.953039619681879,DAILY_RAW,2025
DEPLOYMENT_EXPANDING_ONLY,10,1.0,2026-01-01,2026-06-14,164,14.634146341463413,14.0,14,-8.653532744926995,-18.256116258370092,-9.798190437037945,9.148766504809016,-2.15515107993052,0.91346467255073,PERSIST_3D,2026
BTCD_FALLING_X_EXPANDING_X_NO_RECENT_RECLAIM10,10,1.0,2026-01-01,2026-06-14,164,1.8292682926829267,6.0,6,-0.6150357123861361,-1.3646004156672165,-0.9636135657011491,1.4597799335136485,-0.9332613469515103,0.9938496428761386,PERSIST_3D,2026
BTCD_FALLING_X_DEPLOYMENT_EXPANDING,10,1.0,2026-01-01,2026-06-14,164,1.8292682926829267,6.0,6,-0.6150357123861361,-1.3646004156672165,-0.9636135657011491,1.4597799335136485,-0.9332613469515103,0.9938496428761386,PERSIST_3D,2026
BTCD_FALLING_X_SUPPLY_UP_X_DEX_UP_X_CHAIN_BREADTH60,10,1.0,2026-01-01,2026-06-14,164,1.2195121951219512,4.0,4,-1.0833823600324366,-2.3968122283598126,-1.0833823600324366,1.168059224585493,-2.069592885225405,0.9891661763996756,PERSIST_3D,2026
ALWAYS_LONG,10,1.0,2026-01-01,2026-06-14,164,99.39024390243902,1.0,1,-22.777770439834867,-43.76753465820789,-26.655751375367565,28.583267835281656,-1.8675739193871317,0.7722222956016513,DAILY_RAW,2026
