episode_id,event_utc,era,control_id,control_utc,control_status,matching_distance_rms_z
V2_2021-07-04_057,2021-07-04T21:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-07-22T08,2021-07-22T08:00:00Z,OK,0.4293389503544319
V2_2021-07-07_058,2021-07-07T13:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-07-29T22,2021-07-29T22:00:00Z,OK,0.09513656279813341
V2_2021-07-23_059,2021-07-23T05:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-07-03T08,2021-07-03T08:00:00Z,OK,0.11155785154155676
V2_2021-07-26_060,2021-07-26T10:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-08-07T00,2021-08-07T00:00:00Z,OK,0.6808682627402479
V2_2021-07-30_061,2021-07-30T03:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-08-04T16,2021-08-04T16:00:00Z,OK,0.12357192266110488
V2_2021-08-01_062,2021-08-01T03:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-07-31T22,2021-07-31T22:00:00Z,OK,0.3547963503957086
V2_2021-08-08_063,2021-08-08T00:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-09-01T15,2021-09-01T15:00:00Z,OK,0.1564110906951489
V2_2021-08-12_064,2021-08-12T02:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-08-20T06,2021-08-20T06:00:00Z,OK,0.11933451466952849
V2_2021-08-16_065,2021-08-16T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-08-13T22,2021-08-13T22:00:00Z,OK,0.264267062287042
V2_2021-08-17_066,2021-08-17T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-09-05T12,2021-09-05T12:00:00Z,OK,0.4148553017193574
V2_2021-08-23_067,2021-08-23T09:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-08-15T01,2021-08-15T01:00:00Z,OK,0.15238470725093226
V2_2021-09-07_068,2021-09-07T05:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-09-04T09,2021-09-04T09:00:00Z,OK,0.21076262341005828
V2_2021-09-16_069,2021-09-16T06:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-09-03T09,2021-09-03T09:00:00Z,OK,0.40966298139384666
V2_2021-10-02_070,2021-10-02T19:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-10-02T17,2021-10-02T17:00:00Z,OK,0.10411650805021974
V2_2021-10-05_071,2021-10-05T21:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-10-01T06,2021-10-01T06:00:00Z,OK,0.15501554026973186
V2_2021-10-08_072,2021-10-08T08:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-10-08T07,2021-10-08T07:00:00Z,OK,0.06277592797966583
V2_2021-10-16_073,2021-10-16T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-11-02T03,2021-11-02T03:00:00Z,OK,0.06451882197892636
V2_2021-10-26_074,2021-10-26T20:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-11-03T09,2021-11-03T09:00:00Z,OK,0.2021019268333204
V2_2021-11-03_075,2021-11-03T18:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-10-24T02,2021-10-24T02:00:00Z,OK,0.28908843646876914
V2_2021-11-10_076,2021-11-10T16:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-10-20T14,2021-10-20T14:00:00Z,OK,0.40459546728598267
V2_2021-11-25_077,2021-11-25T14:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-12-24T18,2021-12-24T18:00:00Z,OK,0.8738894068653614
V2_2021-12-01_078,2021-12-01T15:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-11-07T23,2021-11-07T23:00:00Z,OK,0.17036210515535535
V2_2021-12-16_079,2021-12-16T11:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-12-26T01,2021-12-26T01:00:00Z,OK,0.7133828816153388
V2_2021-12-19_080,2021-12-19T04:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-12-23T12,2021-12-23T12:00:00Z,OK,0.2146713287035433
V2_2021-12-27_081,2021-12-27T17:00:00Z,ALTSEASON_2020_2021,V2CTRL_2021-12-21T21,2021-12-21T21:00:00Z,OK,0.10161025200431946
V2_2025-01-06_082,2025-01-06T16:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-01-03T03,2025-01-03T03:00:00Z,OK,0.38591718497863164
V2_2025-01-18_083,2025-01-18T00:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-01-16T17,2025-01-16T17:00:00Z,OK,0.3487554309973689
V2_2025-02-01_084,2025-02-01T06:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-02-21T04,2025-02-21T04:00:00Z,OK,0.728645891906657
V2_2025-02-17_085,2025-02-17T14:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-03-19T11,2025-03-19T11:00:00Z,OK,0.2183595002926814
V2_2025-02-21_086,2025-02-21T13:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-03-17T18,2025-03-17T18:00:00Z,OK,0.2393122453561842
V2_2025-03-02_087,2025-03-02T23:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-03-26T01,2025-03-26T01:00:00Z,OK,1.5208315724464418
V2_2025-03-19_088,2025-03-19T23:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-03-24T21,2025-03-24T21:00:00Z,OK,0.0945015503655744
V2_2025-03-26_089,2025-03-26T10:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-24T23,2025-04-24T23:00:00Z,OK,0.2112129275533709
V2_2025-04-12_090,2025-04-12T22:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-22T18,2025-04-22T18:00:00Z,OK,0.09074859125907546
V2_2025-04-26_091,2025-04-26T01:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-05-01T21,2025-05-01T21:00:00Z,OK,0.09827669673107851
V2_2025-04-29_092,2025-04-29T08:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-20T03,2025-04-20T03:00:00Z,OK,0.4571339586325445
V2_2025-05-02_093,2025-05-02T02:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-21T07,2025-04-21T07:00:00Z,OK,0.034440462952160134
V2_2025-05-10_094,2025-05-10T23:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-12T15,2025-04-12T15:00:00Z,OK,0.9722502558006048
V2_2025-05-12_095,2025-05-12T08:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-05-10T06,2025-05-10T06:00:00Z,OK,0.21144977637607415
V2_2025-05-14_096,2025-05-14T00:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-04-26T00,2025-04-26T00:00:00Z,OK,1.3336024939347866
V2_2025-05-23_097,2025-05-23T03:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-05-08T10,2025-05-08T10:00:00Z,OK,0.15990160667259432
V2_2025-06-11_098,2025-06-11T15:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-06-10T00,2025-06-10T00:00:00Z,OK,0.380218416770763
V2_2025-06-29_099,2025-06-29T22:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-07-13T12,2025-07-13T12:00:00Z,OK,0.20013526222264552
V2_2025-07-03_100,2025-07-03T07:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-07-02T18,2025-07-02T18:00:00Z,OK,0.12608589422169778
V2_2025-07-11_101,2025-07-11T19:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-07-11T05,2025-07-11T05:00:00Z,OK,0.11263998785628523
V2_2025-07-14_102,2025-07-14T04:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-06-29T09,2025-06-29T09:00:00Z,OK,0.5150050605031714
V2_2025-07-18_103,2025-07-18T05:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-07-18T01,2025-07-18T01:00:00Z,OK,0.32477423525878496
V2_2025-07-21_104,2025-07-21T14:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-07-09T11,2025-07-09T11:00:00Z,OK,0.11398709662453768
V2_2025-08-11_105,2025-08-11T02:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-08-06T14,2025-08-06T14:00:00Z,OK,0.4720988765352056
V2_2025-08-14_106,2025-08-14T02:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-09-09T06,2025-09-09T06:00:00Z,OK,0.19522714200370997
V2_2025-08-24_107,2025-08-24T18:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-08-07T21,2025-08-07T21:00:00Z,OK,0.3578350533976367
V2_2025-09-13_108,2025-09-13T12:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-09-13T06,2025-09-13T06:00:00Z,OK,0.21797482305929003
V2_2025-09-19_109,2025-09-19T00:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-10-05T07,2025-10-05T07:00:00Z,OK,0.25643244584144437
V2_2025-10-06_110,2025-10-06T18:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-10-26T11,2025-10-26T11:00:00Z,OK,0.18927166639148268
V2_2025-10-10_111,2025-10-10T13:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-10-02T12,2025-10-02T12:00:00Z,OK,0.11801335919771314
V2_2025-10-27_112,2025-10-27T01:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-10-03T15,2025-10-03T15:00:00Z,OK,0.9260173939890401
V2_2025-11-07_113,2025-11-07T21:00:00Z,MODERN_ANALOGUE_2025_2026,,,NO_ELIGIBLE_CONTROL_IN_CALIPER,
V2_2025-11-11_114,2025-11-11T02:00:00Z,MODERN_ANALOGUE_2025_2026,,,NO_ELIGIBLE_CONTROL_IN_CALIPER,
V2_2025-11-26_115,2025-11-26T18:00:00Z,MODERN_ANALOGUE_2025_2026,,,NO_ELIGIBLE_CONTROL_IN_CALIPER,
V2_2025-12-03_116,2025-12-03T22:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-11-26T17,2025-11-26T17:00:00Z,OK,0.5316485249495919
V2_2025-12-09_117,2025-12-09T16:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-12-27T11,2025-12-27T11:00:00Z,OK,1.6689486262045552
V2_2025-12-29_118,2025-12-29T03:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2025-12-25T18,2025-12-25T18:00:00Z,OK,0.16656234245494927
V2_2026-01-06_119,2026-01-06T14:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-01-02T19,2026-01-02T19:00:00Z,OK,0.19529746538326706
V2_2026-01-14_120,2026-01-14T15:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-01-06T04,2026-01-06T04:00:00Z,OK,0.18686503254230769
