model,families,cluster_window_days,alert_count,false_alarm_count,false_alarm_rate_relevant,wave_event_recall,wave_events_detected,storm_event_recall,storm_events_detected,median_storm_lead_days,storm_event_ids,wave_event_ids,verdict
B1_CMC_STANDALONE,B,0,22,2,0.250000,0.555556,5,0.250000,1,20,PW07,PW02|PW03|PW04|PW06|PW07,WEAK_EARLY_WARNING_DISCRIMINATION
A+C_3D_CLUSTER,A+C,3,5,0,0.000000,0.333333,3,0.500000,2,9.00,PW05|PW08,PW04|PW06|PW09,DESCRIPTIVE
A+B+C_3D_CLUSTER,A+B+C,3,2,0,0.000000,0.111111,1,0.000000,0,,,PW06,NOT_SUPPORTED
A+C_5D_CLUSTER,A+C,5,8,0,0.000000,0.555556,5,1.000000,4,7.00,PW05|PW07|PW08|PW10,PW03|PW04|PW06|PW08|PW09,DESCRIPTIVE
A+B+C_5D_CLUSTER,A+B+C,5,3,0,0.000000,0.111111,1,0.250000,1,3,PW07,PW06,NOT_SUPPORTED
A+C_10D_CLUSTER,A+C,10,11,2,0.181818,0.666667,6,1.000000,4,8.50,PW05|PW07|PW08|PW10,PW02|PW03|PW04|PW06|PW08|PW09,DESCRIPTIVE
A+B+C_10D_CLUSTER,A+B+C,10,5,1,0.200000,0.333333,3,0.250000,1,3,PW07,PW02|PW04|PW06,NOT_SUPPORTED
