episode_id,outcome,start_date,end_date,attempt_count,attempt_ids,gates,median_btc_d_change_5d_pp,all_btc_d_5d_falling,any_btc_d_reclaim_plus_0_75pp_within_10d,dominant_deployment_state,deployment_states,median_deployment_intensity_30d_pctile_365d,median_selected_chain_positive_ratio_change_7d_pct,notes
EP01_2025_FEB_MAR_FAKE,FAKE,2025-02-12,2025-03-02,3,RS06|RS07|RS01,0.0275|0.0275|0.0265,-0.688000,False,True,EXPANDING_DEPLOYMENT,ACTIVITY_WITHOUT_SUPPLY_GROWTH:1|EXPANDING_DEPLOYMENT:2,77.534247,80.000000,Nested gate attempts aggregated to avoid pseudo-replication.
EP02_2025_JUL_REAL,REAL,2025-07-15,2025-07-18,3,RS02|RS08|RS12,0.0265|0.0275|0.03,-0.957400,True,False,EXPANDING_DEPLOYMENT,EXPANDING_DEPLOYMENT:3,55.890411,80.000000,Nested gate attempts aggregated to avoid pseudo-replication.
EP03_2026_FEB_FAKE,FAKE,2026-02-07,2026-02-25,3,RS13|RS14|RS15,0.03|0.03|0.03,-0.344900,True,True,PARKING_ACCUMULATION,PARKING_ACCUMULATION:2|EXPANDING_DEPLOYMENT:1,33.698630,40.000000,Nested gate attempts aggregated to avoid pseudo-replication.
EP04_2026_MAR_APR_FAKE,FAKE,2026-03-16,2026-04-26,3,RS16|RS17|RS18,0.03|0.03|0.03,0.178200,False,False,BROAD_CONTRACTION,EXPANDING_DEPLOYMENT:1|BROAD_CONTRACTION:2,0.273973,0.000000,Nested gate attempts aggregated to avoid pseudo-replication.
EP05_2026_MAY_JUN_FAKE,FAKE,2026-05-23,2026-06-15,4,RS09|RS10|RS03|RS04,0.0275|0.0275|0.0265|0.0265,-0.412500,False,False,ACTIVITY_WITHOUT_SUPPLY_GROWTH,ACTIVITY_WITHOUT_SUPPLY_GROWTH:4,10.136986,80.000000,Nested gate attempts aggregated to avoid pseudo-replication.
EP06_2026_JUN_JUL_UNRESOLVED,UNRESOLVED,2026-06-29,2026-07-02,2,RS05|RS11,0.0265|0.0275,-0.250600,True,False,ACTIVITY_WITHOUT_SUPPLY_GROWTH,ACTIVITY_WITHOUT_SUPPLY_GROWTH:1|BROAD_CONTRACTION:1,22.465753,40.000000,Nested gate attempts aggregated to avoid pseudo-replication.
