cn,cn_jac,priorweek_jac,atr1_5_jac,atr2_0_jac,fixed5_jac,fixed7_5_jac,fixed10_jac
CN #2,0.432,0.289,0.473,0.529,0.481,0.561,0.525
CN #3,0.0,0.153,0.631,0.525,0.635,0.456,0.342
CN #4,0.806,0.52,0.419,0.489,0.402,0.5,0.392
CN #5,0.349,0.793,0.596,0.488,0.582,0.388,0.291
CN #6,0.72,0.163,0.463,0.529,0.523,0.391,0.293
CN #7,0.393,0.68,0.368,0.434,0.445,0.463,0.347
