row_id,cn,asset,disp_score,fc_low,fc_high,indep_low,indep_high,selfrep_low,selfrep_high,selfrep_vs_indep_low_diff,selfrep_vs_indep_high_diff,jaccard_indep,jaccard_selfrep,jaccard_seed,containment_indep,breach_indep,norm_center_err_indep
CN_AUDIT_002,CN #2,BTC,88.0,65000.0,72000.0,67710.0,74936.9,66000.0,71000.0,-1710.0,-3936.9,0.432,0.714,0.714,PARTIAL,HIGH,0.781
CN_AUDIT_003,CN #3,BTC,83.0,66000.0,73000.0,73298.0,78390.0,69000.0,76000.0,-4298.0,-2390.0,0.0,0.4,0.4,NONE,HIGH,2.492
CN_AUDIT_004,CN #4,BTC,86.0,73000.0,79000.0,73741.5,79523.0,74000.0,78500.0,258.5,-1023.0,0.806,0.75,0.75,PARTIAL,HIGH,0.219
CN_AUDIT_005,CN #5,BTC,85.0,76500.0,83500.0,74914.0,79496.0,75400.0,80300.0,486.0,804.0,0.349,0.469,0.469,PARTIAL,LOW,1.22
CN_AUDIT_006,CN #6,BTC,92.0,79000.0,83500.0,78205.0,82814.2,78500.0,82500.0,295.0,-314.2,0.72,0.7,0.7,PARTIAL,LOW,0.321
CN_AUDIT_007_BTC,CN #7,BTC,91.0,79500.0,84000.0,76673.5,82379.0,77600.0,82300.0,926.5,-79.0,0.393,0.438,0.438,PARTIAL,LOW,0.78
CN_AUDIT_007_ETH,CN #7,ETH,91.0,2280.0,2480.0,2098.1,2373.5,2160.0,2370.0,61.9,-3.5,0.245,0.281,0.281,PARTIAL,LOW,1.047
