warning_rule,warning_date,n_event_assignments,event_ids,warning_classes
A1,2025-06-04,2,"PW02,PW03","IN_EVENT_LATE,IN_EVENT_LATE"
A1,2025-09-26,2,"PW06,PW07","IN_EVENT_LATE,IN_EVENT_LATE"
A2,2025-08-04,2,"PW04,PW05","IN_EVENT_LATE,IN_EVENT_LATE"
A3,2025-06-05,2,"PW02,PW03","IN_EVENT_LATE,IN_EVENT_LATE"
C2,2025-06-08,2,"PW02,PW03","IN_EVENT_LATE,IN_EVENT_LATE"
D3,2025-06-05,2,"PW02,PW03","IN_EVENT_LATE,IN_EVENT_LATE"
