rule,family,unique_signal_dates,unique_false_alarm_dates,unique_false_alarm_share_pct,events_with_TRUE_PRE,storm_events_with_pre_C12_warning,median_TRUE_PRE_lead_to_C5_days,q25_TRUE_PRE_lead_to_C5_days,q75_TRUE_PRE_lead_to_C5_days,median_storm_lead_to_C12_days,event_assignments,late_assignment_share_pct
A1,A,9,0,0.0,3,4,5.0,2.5,8.0,8.5,11,36.36363636363637
A2,A,10,1,10.0,3,3,9.0,6.0,10.5,10.0,10,30.0
A3,A,25,4,16.0,6,4,4.0,1.5,7.5,10.0,22,22.727272727272727
C1,C,1,0,0.0,0,1,,,,8.0,1,0.0
C2,C,14,2,14.285714285714286,8,3,2.0,0.0,3.0,7.5,13,23.076923076923077
D1,D,1,0,0.0,1,1,0.0,0.0,0.0,6.0,1,0.0
D2,D,1,0,0.0,1,0,3.0,3.0,3.0,,1,0.0
D3,D,14,0,0.0,2,4,0.5,0.25,0.75,4.0,15,26.666666666666668
