family,unique_signal_dates,unique_false_alarm_dates,unique_false_alarm_share_pct,events_with_TRUE_PRE,storm_events_with_pre_C12_warning,median_TRUE_PRE_lead_to_C5_days,median_storm_lead_to_C12_days,late_assignment_share_pct
A,44,5,11.363636363636363,6,4,5.0,9.5,27.906976744186046
C,15,2,13.333333333333334,8,4,2.0,8.0,21.428571428571427
D,16,0,0.0,3,4,0.5,4.0,23.52941176470588
