filename,bytes,sha256
ULTIMATE SENSOR AUDIT ROWS.csv,5046,6a45aaec4b92475d67f4ae38b0796a0e874d4f5765f44df07cd57bbaf7315fa1
M1 PULLBACK WEATHER ROWS 2026-07-08.csv,13255,3fe76f6f074f422776d4951e63e3aef8a9710b0d21afc74861f8d777dad11d7b
M2 SENSOR COMBO ROWS 2026-07-08.csv,4403,256b48f6df4d5dfc4fbd68fbca324ccadb0cb76f9687f10bdf7415cc21c988f4
btc regime.csv,334587,2ed987e9253303d0e6ccb0bf8ca1b24119f86df0d061833ec5117999788e42d2
btc spliced.csv,225013,3032fa6285e71bb2fbe64f7afa11646484853d6caf37f90d9b64814cdcc0609a
INVESTERING_FULL_SENSOR_SIMULATION_BACKTEST_v1_20260712.zip,382478,d75eb50829a4d9be51240e8fcf04930a85e85d455e23c6855e45718c67b83c5d
INVESTERING_TRUTH_LAYER_COMPLETION_AND_REPLAY_20260712.zip,4313799,75e4a4635e390b955cb3b1531cfd004cc2eda9180cb8706e318e69765af26198
