event_type,variant,events,median_5d,positive_rate_5d,ci95_low_5d,ci95_high_5d,median_10d,positive_rate_10d,ci95_low_10d,ci95_high_10d,median_20d,positive_rate_20d,ci95_low_20d,ci95_high_20d,median_30d,positive_rate_30d,ci95_low_30d,ci95_high_30d
CROSS003_PRICE_ONLY,BASE,8,-0.01562546201260201,0.5,-0.06987357980434639,0.012844330629410594,0.00578466557759183,0.5,-0.08583546540558262,0.03662326969353491,-0.02864335128085055,0.25,-0.08090315207466764,0.15155339267146228,-0.040068201996972475,0.25,-0.10796829795826324,0.21559995890841743
CROSS003_PRICE_ONLY,BREADTH_GT50,6,-0.038449430597176926,0.3333333333333333,-0.09717918680932025,0.015960686163173032,-0.040653020179284294,0.3333333333333333,-0.11668252684231634,0.03467451004082478,-0.04996339844858111,0.3333333333333333,-0.09599368718045448,0.26782516676283186,-0.03335675814335565,0.3333333333333333,-0.07895564102925351,0.34363165398433293
H7_PRICE_ONLY,BASE,48,-0.013353841400077004,0.3829787234042553,-0.032586810058002236,0.008243391129089561,-0.021625464586844667,0.3404255319148936,-0.06910577686960429,-0.0019150808747038228,-0.062091397762944034,0.2765957446808511,-0.11948086334414798,-0.006765526185470105,-0.09444403510929755,0.2391304347826087,-0.13396946618296973,-0.03938563214455426
H7_PRICE_ONLY,BREADTH_GT50,32,-0.0038711680649495817,0.3870967741935484,-0.032058738598534364,0.011778993446460051,-0.008623910556607606,0.3548387096774194,-0.051603247486721404,0.017942971073898306,-0.062091397762944034,0.2903225806451613,-0.08784153899319525,-0.00550453974823506,-0.08373361653202938,0.26666666666666666,-0.11678603272402088,-0.015122302986236957
