model,rows,episodes,brier,auc
UNCONDITIONAL_BASELINE,52,19,0.2485207100591716,0.5
DEPTH_ONLY,52,19,0.2561118234469192,0.34672619047619047
AGE_ONLY,52,19,0.2608290244013179,0.27529761904761907
DEPTH_AGE,52,19,0.26570659789812373,0.31101190476190477
DEPTH_AGE_INTERACTION,52,19,0.26746950271262854,0.31398809523809523
